h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
3,0.1,TFDI_Full_pca,Logit,0.03767006179992265,420,420
3,0.1,TFDI_pca,Logit,0.04257198841482764,420,420
3,0.1,TFDI_avg,Logit,0.055955694675826805,420,420
3,0.15,TFDI_Full_pca,Logit,0.03033262534448751,420,420
3,0.15,TFDI_pca,Logit,0.03344284836506949,420,420
3,0.15,TFDI_avg,Logit,0.051027439235215646,420,420
3,0.2,TFDI_Full_pca,Logit,0.03176248708215809,420,420
3,0.2,TFDI_pca,Logit,0.03238644443377642,420,420
3,0.2,TFDI_avg,Logit,0.04993612488473578,420,420
3,0.25,TFDI_Full_pca,Logit,0.02749875700320917,420,420
3,0.25,TFDI_pca,Logit,0.03017975877485494,420,420
3,0.25,TFDI_avg,Logit,0.049051859094954485,420,420
3,0.3,TFDI_Full_pca,Logit,0.031255835664778894,420,420
3,0.3,TFDI_pca,Logit,0.0366386156174123,420,420
3,0.3,TFDI_avg,Logit,0.05017491690554977,420,420
3,0.35,TFDI_Full_pca,Logit,0.033166455446114546,420,420
3,0.35,TFDI_pca,Logit,0.04060059208187246,420,420
3,0.35,TFDI_avg,Logit,0.053122519938320914,420,420
