Predictor_Set,Model,C_Value,Avg_Brier_Score,Valid_Predictions,Total_Predictions
TFDI_dis,Logit_L1_C0.001,0.001,0.25,420,420
TFDI_dis,Logit_L1_C0.003,0.003,0.25,420,420
TFDI_dis,Logit_L1_C0.008,0.008,0.17517864543969025,420,420
TFDI_dis,Logit_L1_C0.022,0.022,0.1070167848993425,420,420
TFDI_dis,Logit_L1_C0.060,0.06,0.07597065813525129,420,420
TFDI_dis,Logit_L1_C0.167,0.167,0.06302616629295014,420,420
TFDI_dis,Logit_L1_C0.464,0.464,0.05627964650759015,420,420
TFDI_dis,Logit_L1_C1.292,1.292,0.0584823151701963,420,420
TFDI_dis,Logit_L1_C3.594,3.594,0.07022429687035282,420,420
TFDI_dis,Logit_L1_C10.000,10.0,0.08640305708031758,420,420
TFDI_dis_with_Full,Logit_L1_C0.001,0.001,0.25,420,420
TFDI_dis_with_Full,Logit_L1_C0.003,0.003,0.25,420,420
TFDI_dis_with_Full,Logit_L1_C0.008,0.008,0.17517864543969025,420,420
TFDI_dis_with_Full,Logit_L1_C0.022,0.022,0.09126469582870703,420,420
TFDI_dis_with_Full,Logit_L1_C0.060,0.06,0.07252971632138411,420,420
TFDI_dis_with_Full,Logit_L1_C0.167,0.167,0.06909806110751139,420,420
TFDI_dis_with_Full,Logit_L1_C0.464,0.464,0.06870761638884283,420,420
TFDI_dis_with_Full,Logit_L1_C1.292,1.292,0.08429774794630207,420,420
TFDI_dis_with_Full,Logit_L1_C3.594,3.594,0.09917449688567016,420,420
TFDI_dis_with_Full,Logit_L1_C10.000,10.0,0.10689452096406896,420,420
