h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
1,0.05,TFDI_avg,Logit,0.08408584426472118,420,420
1,0.1,TFDI_avg,Logit,0.07459612004859142,420,420
1,0.15,TFDI_avg,Logit,0.06891652696394594,420,420
1,0.2,TFDI_avg,Logit,0.06532601583130818,420,420
1,0.25,TFDI_avg,Logit,0.06471096666347245,420,420
1,0.3,TFDI_avg,Logit,0.06254960822498376,420,420
1,0.35,TFDI_avg,Logit,0.06334762301346529,420,420
1,0.4,TFDI_avg,Logit,0.06634852153954868,420,420
3,0.05,TFDI_avg,Logit,0.08189085071970834,420,420
3,0.1,TFDI_avg,Logit,0.07314997259611704,420,420
3,0.15,TFDI_avg,Logit,0.06721669679148488,420,420
3,0.2,TFDI_avg,Logit,0.06500417033524669,420,420
3,0.25,TFDI_avg,Logit,0.06335590741922047,420,420
3,0.3,TFDI_avg,Logit,0.06320309432937936,420,420
3,0.35,TFDI_avg,Logit,0.06468575234522292,420,420
3,0.4,TFDI_avg,Logit,0.06576032994429103,420,420
6,0.05,TFDI_avg,Logit,0.08570397418760764,420,420
6,0.1,TFDI_avg,Logit,0.07917187237718755,420,420
6,0.15,TFDI_avg,Logit,0.07387941169228932,420,420
6,0.2,TFDI_avg,Logit,0.06951211586872691,420,420
6,0.25,TFDI_avg,Logit,0.06888296614332859,420,420
6,0.3,TFDI_avg,Logit,0.06831564630939524,420,420
6,0.35,TFDI_avg,Logit,0.06709548235813753,420,420
6,0.4,TFDI_avg,Logit,0.06834251629602432,420,420
