h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
3,0.05,TFDI_Full_pca,Logit,0.040165776583498375,420,420
3,0.05,TFDI_pca,Logit,0.057934145851029344,420,420
3,0.05,TFDI_avg,Logit,0.06768185516008622,420,420
3,0.1,TFDI_Full_pca,Logit,0.037693219473391854,420,420
3,0.1,TFDI_pca,Logit,0.042607444073540994,420,420
3,0.1,TFDI_avg,Logit,0.055955694675826805,420,420
3,0.25,TFDI_Full_pca,Logit,0.027690344762827317,420,420
3,0.25,TFDI_pca,Logit,0.0301303849177959,420,420
3,0.25,TFDI_avg,Logit,0.049051859094954485,420,420
12,0.05,TFDI_Full_pca,Logit,0.03927211269675752,420,420
12,0.05,TFDI_pca,Logit,0.09222302596512547,420,420
12,0.05,TFDI_avg,Logit,0.08655346745648665,420,420
12,0.1,TFDI_Full_pca,Logit,0.038544236753339095,420,420
12,0.1,TFDI_pca,Logit,0.06081398894512191,420,420
12,0.1,TFDI_avg,Logit,0.07970695175631155,420,420
12,0.25,TFDI_Full_pca,Logit,0.037156185313031366,420,420
12,0.25,TFDI_pca,Logit,0.0544926895040294,420,420
12,0.25,TFDI_avg,Logit,0.06667536482085004,420,420
