h_qt,q_qt,Predictor_Set,Model,Avg_Brier_Score,Valid_Predictions,Total_Predictions
1,0.05,TFDI_pca,Logit,0.07971303210413547,420,420
1,0.1,TFDI_pca,Logit,0.06920410080971354,420,420
1,0.15,TFDI_pca,Logit,0.056228528745845635,420,420
1,0.2,TFDI_pca,Logit,0.04826577220875372,420,420
1,0.25,TFDI_pca,Logit,0.04710463482503539,420,420
1,0.3,TFDI_pca,Logit,0.0490632549109874,420,420
1,0.35,TFDI_pca,Logit,0.04998260659465951,420,420
1,0.4,TFDI_pca,Logit,0.05355986647615529,420,420
3,0.05,TFDI_pca,Logit,0.08866317751610431,420,420
3,0.1,TFDI_pca,Logit,0.06696348957490517,420,420
3,0.15,TFDI_pca,Logit,0.055726120379214775,420,420
3,0.2,TFDI_pca,Logit,0.04946840293318062,420,420
3,0.25,TFDI_pca,Logit,0.04977367946949147,420,420
3,0.3,TFDI_pca,Logit,0.04889258933358525,420,420
3,0.35,TFDI_pca,Logit,0.04859342060854485,420,420
3,0.4,TFDI_pca,Logit,0.048943351418675986,420,420
6,0.05,TFDI_pca,Logit,0.08708709840611352,420,420
6,0.1,TFDI_pca,Logit,0.07427950195438326,420,420
6,0.15,TFDI_pca,Logit,0.05947740258134368,420,420
6,0.2,TFDI_pca,Logit,0.0551775576797485,420,420
6,0.25,TFDI_pca,Logit,0.05034907577368881,420,420
6,0.3,TFDI_pca,Logit,0.04818307269979972,420,420
6,0.35,TFDI_pca,Logit,0.04721156787252276,420,420
6,0.4,TFDI_pca,Logit,0.0486177017039993,420,420
